group	PANEL	clickSelects	colour	fill	key	showSelected2
1	3	Ecuador	#53B400	#53B400	Ecuador	Latin America & Caribbean
1	3	Estonia	#C49A00	#C49A00	Estonia	Europe & Central Asia
1	3	Egypt, Arab Rep.	#00C094	#00C094	Egypt, Arab Rep.	Middle East & North Africa
1	3	Eritrea	#FB61D7	#FB61D7	Eritrea	Sub-Saharan Africa
1	3	Spain	#C49A00	#C49A00	Spain	Europe & Central Asia
1	3	Ethiopia	#FB61D7	#FB61D7	Ethiopia	Sub-Saharan Africa
1	3	Finland	#C49A00	#C49A00	Finland	Europe & Central Asia
1	3	Fiji	#F8766D	#F8766D	Fiji	East Asia & Pacific
1	3	Micronesia, Fed. Sts.	#F8766D	#F8766D	Micronesia, Fed. Sts.	East Asia & Pacific
1	3	Faeroe Islands	#C49A00	#C49A00	Faeroe Islands	Europe & Central Asia
1	3	France	#C49A00	#C49A00	France	Europe & Central Asia
1	3	Gabon	#FB61D7	#FB61D7	Gabon	Sub-Saharan Africa
1	3	United Kingdom	#C49A00	#C49A00	United Kingdom	Europe & Central Asia
1	3	Grenada	#53B400	#53B400	Grenada	Latin America & Caribbean
1	3	Georgia	#C49A00	#C49A00	Georgia	Europe & Central Asia
1	3	Ghana	#FB61D7	#FB61D7	Ghana	Sub-Saharan Africa
1	3	Greenland	#C49A00	#C49A00	Greenland	Europe & Central Asia
1	3	Gambia, The	#FB61D7	#FB61D7	Gambia, The	Sub-Saharan Africa
1	3	Guinea	#FB61D7	#FB61D7	Guinea	Sub-Saharan Africa
1	3	Equatorial Guinea	#FB61D7	#FB61D7	Equatorial Guinea	Sub-Saharan Africa
1	3	Greece	#C49A00	#C49A00	Greece	Europe & Central Asia
1	3	Guatemala	#53B400	#53B400	Guatemala	Latin America & Caribbean
1	3	Guam	#F8766D	#F8766D	Guam	East Asia & Pacific
1	3	Guinea-Bissau	#FB61D7	#FB61D7	Guinea-Bissau	Sub-Saharan Africa
1	3	Guyana	#53B400	#53B400	Guyana	Latin America & Caribbean
1	3	Hong Kong SAR, China	#F8766D	#F8766D	Hong Kong SAR, China	East Asia & Pacific
1	3	Honduras	#53B400	#53B400	Honduras	Latin America & Caribbean
1	3	Croatia	#C49A00	#C49A00	Croatia	Europe & Central Asia
1	3	Haiti	#53B400	#53B400	Haiti	Latin America & Caribbean
1	3	Hungary	#C49A00	#C49A00	Hungary	Europe & Central Asia
1	3	Indonesia	#F8766D	#F8766D	Indonesia	East Asia & Pacific
1	3	Ireland	#C49A00	#C49A00	Ireland	Europe & Central Asia
1	3	Israel	#00C094	#00C094	Israel	Middle East & North Africa
1	3	Isle of Man	#C49A00	#C49A00	Isle of Man	Europe & Central Asia
1	3	India	#A58AFF	#A58AFF	India	South Asia
1	3	Iraq	#00C094	#00C094	Iraq	Middle East & North Africa
1	3	Iran, Islamic Rep.	#00C094	#00C094	Iran, Islamic Rep.	Middle East & North Africa
1	3	Iceland	#C49A00	#C49A00	Iceland	Europe & Central Asia
1	3	Italy	#C49A00	#C49A00	Italy	Europe & Central Asia
1	3	Channel Islands	#C49A00	#C49A00	Channel Islands	Europe & Central Asia
1	3	Jamaica	#53B400	#53B400	Jamaica	Latin America & Caribbean
1	3	Jordan	#00C094	#00C094	Jordan	Middle East & North Africa
1	3	Japan	#F8766D	#F8766D	Japan	East Asia & Pacific
1	3	Kenya	#FB61D7	#FB61D7	Kenya	Sub-Saharan Africa
1	3	Kyrgyz Republic	#C49A00	#C49A00	Kyrgyz Republic	Europe & Central Asia
1	3	Cambodia	#F8766D	#F8766D	Cambodia	East Asia & Pacific
1	3	Kiribati	#F8766D	#F8766D	Kiribati	East Asia & Pacific
1	3	Comoros	#FB61D7	#FB61D7	Comoros	Sub-Saharan Africa
1	3	St. Kitts and Nevis	#53B400	#53B400	St. Kitts and Nevis	Latin America & Caribbean
1	3	Korea, Dem. Rep.	#F8766D	#F8766D	Korea, Dem. Rep.	East Asia & Pacific
1	3	Korea, Rep.	#F8766D	#F8766D	Korea, Rep.	East Asia & Pacific
1	3	Kosovo	#C49A00	#C49A00	Kosovo	Europe & Central Asia
1	3	Kuwait	#00C094	#00C094	Kuwait	Middle East & North Africa
1	3	Cayman Islands	#53B400	#53B400	Cayman Islands	Latin America & Caribbean
1	3	Kazakhstan	#C49A00	#C49A00	Kazakhstan	Europe & Central Asia
1	3	Lao PDR	#F8766D	#F8766D	Lao PDR	East Asia & Pacific
1	3	Lebanon	#00C094	#00C094	Lebanon	Middle East & North Africa
1	3	St. Lucia	#53B400	#53B400	St. Lucia	Latin America & Caribbean
1	3	Liechtenstein	#C49A00	#C49A00	Liechtenstein	Europe & Central Asia
1	3	Sri Lanka	#A58AFF	#A58AFF	Sri Lanka	South Asia
1	3	Liberia	#FB61D7	#FB61D7	Liberia	Sub-Saharan Africa
1	3	Lesotho	#FB61D7	#FB61D7	Lesotho	Sub-Saharan Africa
1	3	Lithuania	#C49A00	#C49A00	Lithuania	Europe & Central Asia
1	3	Luxembourg	#C49A00	#C49A00	Luxembourg	Europe & Central Asia
1	3	Latvia	#C49A00	#C49A00	Latvia	Europe & Central Asia
1	3	Libya	#00C094	#00C094	Libya	Middle East & North Africa
